hID,netWorth,ChildrenNum
28,5,1
61,8,0
85,5,1
98,7,1
111,8,0
122,7,1
160,6,0
177,7,2
210,8,1
228,6,1
237,7,1
238,6,1
241,7,1
281,4,0
285,5,1
286,5,3
290,8,0
293,6,1
295,8,0
296,6,0
299,6,2
301,8,0
310,8,0
316,5,0
318,8,0
328,6,2
330,6,0
334,7,0
342,7,0
349,7,2
350,8,1
355,7,0
356,7,1
363,6,0
382,7,0
388,8,0
404,6,2
417,6,0
428,6,0
429,7,1
440,8,1
452,6,2
457,6,2
458,6,3
461,6,0
469,8,0
470,6,0
479,7,2
480,8,0
485,6,0
502,7,0
513,5,0
517,7,0
534,5,0
537,8,1
539,6,0
547,8,0
553,7,0
567,7,1
576,7,1
577,7,1
581,7,0
587,7,0
592,8,0
603,7,2
608,7,1
609,8,1
611,8,0
621,7,0
627,7,1
632,7,1
633,8,0
635,8,0
637,7,1
663,7,0
665,3,1
674,8,0
676,8,1
681,7,2
683,8,0
687,7,0
688,8,1
691,8,0
694,7,2
712,7,0
715,8,0
722,8,0
725,6,1
736,8,0
737,8,0
739,7,1
747,7,1
763,8,0
767,7,0
771,6,0
772,6,1
786,6,1
794,8,1
800,7,1
895,6,1
1218,6,1
1452,7,1
1474,7,1
1625,7,1
1688,6,1
1767,6,1
