title,genre,duration
Erin Burnett OutFront,News,60
The View,Talk,60
Devils Due,Horror,90
Scholastic Scrimmage,Game show,30
Crossfire Hurricane,Documentary,120
Action News at 6:00 AM,News,60
Top 20 Most Shocking,Documentary,61
General Hospital,Soap,60
Ice Cold Killers,Crime,60
Along Came Polly,Romance-comedy,120
Hulk,Fantasy,180
I Didnt Do It,Comedy,30
Morning Express With Robin Meade,Talk,120
Ladies of the House,Drama,120
Extreme Births,Special,60
World War II in Color,Documentary,60
High Heat,Sports non-event,60
The Monday Night Show,Shopping,60
Syriana,Drama,225
Dual Survival,Reality,60
Son-in-Law,Comedy,105
Ghost Whisperer,Drama,60
Ultimate Spider-Man: Web Warriors,Children,30
BBC World News,News,30
Restaurant: Impossible,Reality,60
Modern Family,Sitcom,30
MC Easy Listening,Music,240
Adult Programming,Adults only,60
Extra,Newsmagazine,30
Cabinet of Caligari,Horror,110
The Brothers Grimm,Fantasy,125
American Beaver,Special,60
Smokey and the Bandit II,Comedy,150
Dora and Friends: Into the City!,Children,30
69 News Weekend Edition,News,30
The Amazing World of Gumball,Children,30
The Jewish Jesus,Religious,30
Feast,Horror,120
The Looney Tunes Show,Children,30
TMZ,Newsmagazine,30
Pawn Stars,Reality,29
Jams Live,Musical,60
Food Paradise,Travel,60
The Mindy Project,Sitcom,30
Special Report With Bret Baier,Talk,60
Don Asletts Cleaning Secrets,Shopping,60
News 8 at 11:00,News,35
FOX and Friends,Talk,180
Lauren Lakes Paternity Court,Reality,30
Hart to Hart,Crime drama,60
The Million Dollar Hotel,Drama,130
Newswatch 16 at 6pm,News,30
UFC Fighters Cut,Sports non-event,30
The Universe: Ancient Mysteries Solved,Science,60
Flea Market Flip,House/garden,30
Untold Stories of the E.R.,Reality,60
Dr. Drew on Call,Talk,60
Lalaloopsy,Children,30
The Celebrity Apprentice,Reality,120
Peg Plus Cat,Children,30
Declassified,Documentary,60
The Goldbergs,Sitcom,30
Globe Trekker,Travel,60
Duck Dynasty,Reality,30
Judy Moody and the NOT Bummer Summer,Comedy,100
Local Weather,Weather,240
TVs Funniest Game Show Moments,Special,60
The Challenge: Battle of the Exes II,Reality,90
Property Brothers,Reality,60
Life After Lockup,News,60
Family Feud,Game show,30
NCIS,Crime drama,60
Dirty Dancing,Romance,150
truTV Top Funniest,Reality,60
Dr. Phil,Talk,60
The Insider,Newsmagazine,30
Scooby-Doo Where Are You!,Children,30
Barefoot Contessa,Cooking,30
American Pickers,Reality,60
Alfred Hitchcock Hour,Anthology,60
Zanes Sex Chronicles,Adults only,25
The Closer,Crime drama,60
Celebrity Name Game,Game show,30
The Unguarded Hour,Mystery,90
Center Court,Sports non-event,540
Border Feud,Western,55
PM Style,Shopping,180
Alfred Hitchcock Presents,Anthology,30
Body Beast,Consumer,30
Bridezillas,Reality,60
24 Ladders in One- New Little Giant,Consumer,30
Death Valley Days,Anthology,30
Key Capitol Hill Hearings,Special,2
Think Like a Man,Romance-comedy,180
Fright Night,Horror,150
The Life and Legend of Wyatt Earp,Drama,27
Eyewitness News First at 4,News,60
The Interpreter,Suspense,130
Broadway Serenade,Musical,120
Mad About You,Sitcom,30
The Mentalist,Crime drama,60
Live! With Kelly and Michael,Talk,60
MC R&B Classics,Music,240
George Lopez,Sitcom,37
Paid Programming,Shopping,30
Team Umizoomi,Children,30
How I Met Your Mother,Sitcom,37
Inside the Trinity Family of Networks,,30
Eyewitness News Daybreak at 6:30am,News,30
Shake It Up!,Children,30
Chris Cox Horsemanship,Sports non-event,30
Inside West Coast Customs,Documentary,60
Next Stop Wonderland,Drama,100
Outnumbered,News,60
Fire and Ice,Fantasy,120
Blades Gone Wild $198.00 ``$9.95 S&H,Consumer,30
Mad Money,Bus./financial,60
The Little Couple,Reality,60
Fairy Tale: A True Story,Fantasy,100
Giada at Home,Cooking,30
Military News of the Day,Special,30
NASCAR America,Sports non-event,30
Frontline,Documentary,60
The Painted Veil,Drama,130
iCarly,Children,30
Chasing Classic Cars,Auto,30
The Ruling Voice,Crime drama,90
Panic Room,Suspense,150
Unusual Suspects,Documentary,60
Shark Rocket Holiday Shine!,Consumer,30
Vanderpump Rules,Reality,60
Chowder,Children,30
A Mothers Revenge,Drama,120
WHP CBS 21 News at 5,News,30
Good Day Philadelphia,News,120
Daytime Jeopardy,Game show,30
Survivorman & Son,Reality,60
Pop Hits,Music,150
Intelligence for Your Life,Talk,30
Gotham,Drama,60
Buckmasters Classics,Sports non-event,30
Cheyenne,Western,50
Mona Lisa Smile,Drama,150
Twin Tiers Morning Update,News,120
On the Road,Drama,125
Coming Home,Reality,60
Newswatch 16 at 5pm,News,30
The Cleveland Show,Sitcom,30
Parks and Recreation,Sitcom,30
Sunday in New York,Romance-comedy,120
Days of our Lives,Soap,60
Private Benjamin,Comedy,110
Diagnosis Murder,Crime drama,60
American Wedding,Comedy,120
Horse Master With Julie Goodnight,Horse,30
Skin to the Max,Adults only,30
Johnny Carson,Consumer,30
The Palomino,Western,75
Susan Graver Style,Shopping,60
Beauty of Oil Painting With Gary,Art,30
Joseph Rosendos Travelscope,Travel,30
Jimmy Kimmel Live,Talk,62
NBC 10 News Today at 4:30a,News,30
Baggage: Most Outrageous Moments,Special,60
Eyewitness News Daybreak at 5am,News,60
Trauma: Life in the ER,Documentary,60
My Wife and Kids,Sitcom,35
Eyewitness News Daybreak at 6am,News,60
Pro Football Talk,Sports talk,90
Portofino Italian Jewelry,Consumer,60
Judging Amy,Drama,60
King Kong,Adventure,195
Serial Killer Earth,Science,60
Pokémon 4Ever,Children,105
Lockup Tampa,Reality,60
George Hirsch Lifestyle,Cooking,30
Matlock,Drama,60
Mr. Deeds Goes to Town,Comedy,120
Arrow,Drama,60
Poltergeist III,Horror,100
North Woods Law,Reality,60
Boogie Nights,Drama,210
Flipping Boston,Reality,60
Weather Center Live,Weather,120
Jungle Junction,Children,30
Atomic Hotel Erotica,Adults only,85
Sofia the First,Children,30
Little House on the Prairie,Drama,60
South Park,Sitcom,31
Bonanza,Drama,71
More Than Money,,30
Dan Rather Presents,Documentary,120
I (Almost) Got Away With It,Documentary,60
Lauryn Is Lost: A Disappeared Special,Special,60
Sweetwater,Sports non-event,30
International Fellowship,Community,30
Worlds Wildest Police Videos,Reality,60
Gator Boys,Reality,60
College Football Live,Sports non-event,30
Far From Heaven,Drama,110
New Scandinavian Cooking,Cooking,30
Taking the Initiative,Community,30
Demolition Man,Science fiction,120
Animal Atlas,Animals,30
MC R&B Soul,Music,120
Portable cooktop,Consumer,30
Cold Case,Crime drama,60
Shepard Smith Reporting,News,60
The Man With the 200lb Tumor,Special,60
NBA League Pass,Sports non-event,30
Bob the Builder,Children,20
Impractical Jokers,Reality,30
The New Adventures of Old Christine,Sitcom,30
Kitchen Nightmares,Reality,60
Mob Wives,Reality,60
Cold Case Files,Documentary,60
Eyewitness News at 4:30am,News,30
Breakdown,Suspense,90
The Magdalene Sisters,Drama,120
Fury at Gunsight Pass,Western,70
Zoey 101,Children,30
Good Times,Sitcom,30
Your Health with Dr. Richard,Health,60
Triggers: Weapons That Changed the World,Documentary,60
Late Night With Seth Meyers,Talk,61
MC Reggae,Music,120
Fast Joint Relief,Consumer,30
Rival Sons: Live From Gothenburg Sweden,Special,60
Heartland Bowhunter,Sports non-event,30
69 News at Noon,News,30
Match Game,Game show,30
The Fast and the Furious: Tokyo Drift,Action,105
21 Jump Street,Comedy,150
Cheers,Sitcom,30
CBS News Sunday Morning,Talk,90
American Restoration,Reality,30
MC Y2K,Music,240
Factory Made,Science,30
Pocono Landscape Challenge,House/garden,30
Dennis the Menace,Sitcom,30
