title,hID
The Bill Cunningham Show,712
Duck Dynasty,350
The Looney Tunes Show,537
Intelligence for Your Life,355
Loud Mouths,85
Devils Due,330
American Pickers,1625
I Didnt Do It,633
Beauty of Oil Painting With Gary,440
The Gunfather,241
CHiPs,286
The Insider,739
MC Easy Listening,683
NCIS,632
Inside the Trinity Family of Networks,350
The Fast and the Furious: Tokyo Drift,547
Restaurant: Impossible,98
Friday Night Lights,1452
Shepard Smith Reporting,98
Dennis the Menace,737
MC Adult Alternative,111
New Scandinavian Cooking,502
Say Yes to the Dress,85
Mad About You,763
Shark Powered Lift Away for the Holiday!,772
Holmes Makes It Right,1688
The Curse of Oak Island,632
NFL Monday QB,683
Globe Trekker,429
Duck Dynasty,1688
The OReilly Factor,404
Boogie Nights,1474
Fighting Cancer: Real Stories of Healing,553
American Restoration,470
Love It or List It,355
Duck Dynasty,691
Tony Little Body by Bison,299
Who Wants to Be a Millionaire,633
Gunsmoke,567
MC R&B Classics,160
Utah Blaine,440
High Heat,627
Rural Evening News,237
Eyewitness News First at 4,581
World War II in Color,417
NASCAR America,736
Property Brothers,238
Ed Wood,290
Animal Atlas,177
The Killer Speaks,1625
30 Rock,295
Lauryn Is Lost: A Disappeared Special,577
Fury at Gunsight Pass,349
U.S. Bounty Hunters,567
Sofia the First,688
Say Yes to the Dress,681
Bad Girls Club: Redemption,334
Blades Gone Wild $198.00 ``$9.95 S&H,293
Step Brothers,603
The Gunfather,553
Crash,694
Restaurant: Impossible,632
NFL AM,470
Mona Lisa Smile,210
Zoey 101,85
Action News at 6:00 AM,539
Cafeina,581
UFC Fighters Cut,382
Movie Loft,674
Jungle Junction,98
Judge Hatchett,608
Legislative Report With Mario Scavello,330
American Wedding,177
Air Force News,539
Bob the Builder,299
MC R&B Soul,238
Little Man Tate,694
Daytime Jeopardy,160
TV13 News - Night Report,632
Wheel of Fortune,316
Live Soul,470
Jams Live,286
My 600-Lb. Life,286
Cocaine Cowboys,576
The Life and Legend of Wyatt Earp,592
Cocaine Cowboys,452
Newswatch 16 at 5pm,470
Newswatch 16 at 5pm,737
Grimm,794
American Wedding,537
Mad Money,747
Newswatch 16 at 5:30pm,296
Crossfire Hurricane,330
Gaithers Homecoming,736
TV13 Sports Extra,537
Meet the Parents,681
Tulip Curl from Instyler!,334
Tony Little Body by Bison,85
Texas Justice,429
UFC 182: Jones vs. Cormier,328
truTV Top Funniest,739
The Palomino,767
Tignanello Handbags,674
Ghost Whisperer,316
Around the NFL,342
Mad About You,404
Hot in Cleveland,665
Sixers Pregame,663
The Universe: Ancient Mysteries Solved,301
A River Runs Through It,281
The OReilly Factor,767
How I Met Your Mother,1218
Inside City,800
Border Feud,603
Son-in-Law,633
Future Cat,663
Eyewitness News First at 4,310
Don Asletts Cleaning Secrets,382
Dateline NBC,470
Judy Moody and the NOT Bummer Summer,794
Lesson Tee Live,611
Austenland,382
Fox 43 Morning News at 6:00am,237
World War II in Color,517
Dateline NBC,609
Survivorman & Son,318
The Andy Griffith Show,632
Child Genius,603
Mad Money,739
The Looney Tunes Show,301
The OReilly Factor,177
Giada at Home,310
CBS 2 News at 6PM,895
Friday Night Lights,349
Suzanne Somers Beauty Health & Fitness,1625
21 Jump Street,356
Skin to the Max,763
Philosophy: Beauty,470
Death Valley Days,632
The King of Queens,737
Outnumbered,238
NCIS: Los Angeles,160
FOX and Friends,603
Dan Rather Presents,342
Squawk Alley,747
Frontline,429
American Wedding,1474
Parks and Recreation,457
Nightline,587
Dennis the Menace,388
Dan Rather Presents,293
Zoey 101,608
The Punisher,609
The Prime of Miss Jean Brodie,363
Parks and Recreation,577
Triggers: Weapons That Changed the World,469
Cheers,567
Guys Grocery Games,342
Erin Burnett OutFront,285
Friday Night Lights,517
Rural Evening News,534
The Pioneers,635
NBC 10 News at 11p,356
Perry Mason,177
The Situation Room,737
The Sting,293
The Palomino,293
Beautiful Creatures,547
Paid Programming,603
The Looney Tunes Show,334
Perry Mason,238
Syriana,28
The Situation Room,111
I (Almost) Got Away With It,1218
Mantracker,28
Commando,342
Shake It Up!,301
Syriana,111
Trick To a Wrinkle-Free Face!,1452
Intervention,85
Portable cooktop,683
The Million Dollar Hotel,334
Diagnosis Murder,747
Hart to Hart,502
Nightline,1625
AntiAging Fountain of Youth,296
King Kong,286
Eyewitness News Daybreak at 5am,534
Top 20 Most Shocking,637
100 Orgasms a Day,736
Diagnosis Murder,688
Ladies of the House,674
FIFA Fútbol Mundial,388
Grimm,581
The Ruling Voice,461
Property Brothers,635
Unusual Suspects,316
Battlefield Detectives,210
Man v. Food,440
Inside the Trinity Family of Networks,285
Perry Mason,428
Bridezillas,342
truTV Top Funniest,85
Duck Dynasty,470
Sleep Sex,794
Mad Money,318
Gator Boys,316
Around the NFL,502
La Gata,210
The Gunfather,772
CBS News Sunday Morning,635
All in the Family,637
Legislative Report With Mario Scavello,895
The Nile,547
Wake Up With Al,210
Far From Heaven,237
The Cleveland Show,299
Dennis the Menace,310
Hip Hop Hits,318
Made in Milwaukee,587
New Scandinavian Cooking,747
The Family Stone,85
Animal Atlas,800
Diagnosis Murder,479
Gaithers Homecoming,429
Secrets of the Arsenal,621
MC Adult Alternative,281
Monsters Inside Me,452
Johnny Carson,28
Shrek 2,316
The Challenge: Battle of the Exes II,603
Property Brothers,683
100 Orgasms a Day,603
Supernatural,301
CHiPs,722
Free NutriBullet offer!,210
The Ruling Voice,1474
Worst Cooks in America,603
The Girls Guide to Depravity,800
Weather Center Live,895
Shepard Smith Reporting,330
Trauma: Life in the ER,318
Animal Atlas,694
How I Met Your Mother,637
Think Like a Man,627
NCIS,301
Sweetwater,771
Family Feud,330
Eyewitness News at 4:30am,457
Zanes Sex Chronicles,517
Restaurant: Impossible,772
Friday Night Lights,715
Inside West Coast Customs,457
Ninja Blender Duo for a Healthy Holiday!,342
Ed Wood,318
Movie,177
He Said She Said,210
Action News 5PM,470
Cold Justice,479
Joseph Rosendos Travelscope,611
Boogie Nights,388
Alfred Hitchcock Presents,1452
Military News of the Day,228
Holmes Makes It Right,633
MC R&B Classics,310
Motives & Murders: Cracking the Case,457
Chowder,293
Son-in-Law,349
State Department Briefing,767
Donna Decorates Dallas,310
MonsterQuest,725
The Family Stone,736
Judy Moody and the NOT Bummer Summer,1767
I Didnt Do It,513
Hart to Hart,725
Dish Nation,581
State of Affairs,293
Natural World,328
Holmes Makes It Right,429
Live! With Kelly and Michael,342
Frontline,28
Mission to Mars,691
Demolition Man,608
Cook Like a Pro,609
ESPNU Film Room,355
Water for Elephants,342
Kick Buttowski: Suburban Daredevil,715
Curb Your Enthusiasm,1452
Live! With Kelly and Michael,417
Survivorman & Son,355
Picker Sisters,725
Barefoot Contessa,537
Child Genius,404
Keeping Up With the Kardashians,461
The Lead With Jake Tapper,160
Live Cameras and Forecast Maps,694
The Shining,676
Six Star Knife Set,363
Twin Tiers Morning Update,479
Wahlburgers,688
Lone Star Mystery: A Disappeared Special,772
The King of Queens,712
Portofino Italian Jewelry,739
Kick Buttowski: Suburban Daredevil,587
Dirty Dancing,290
Mad About You,722
Movie,237
MC Easy Listening,1767
Syriana,316
Dora and Friends: Into the City!,310
Today in New York,794
Forty Guns,382
Next Day Air,98
Duck Dynasty,688
Community,469
Sweetwater,241
NCIS: Los Angeles,592
Border Feud,293
King Kong,553
Good Times,286
Hip Hop Hits,293
Dora and Friends: Into the City!,388
Kitchen Nightmares,603
Eyewitness News Daybreak at 6am,1218
Donna Decorates Dallas,603
Cheyenne,429
Closing Bell,295
iCarly,210
Dr. Phil,290
News 8 at 11:00,349
Comedy Central Presents,674
Chasing Classic Cars,603
Marvel Super Heroes: Maximum Overload,663
Dora and Friends: Into the City!,771
Fighting Cancer: Real Stories of Healing,28
Mad About You,228
Hot in Cleveland,237
Made in Milwaukee,1767
Law & Order: Special Victims Unit,1767
Making Money With Charles Payne,238
WENY HD News,299
The New Adventures of Old Christine,210
Wahlburgers,355
Devils Due,581
Scooby-Doo Where Are You!,1218
Heartland Bowhunter,725
Eyewitness News Daybreak at 6am,295
La Gata,609
The Life and Legend of Wyatt Earp,98
Dog With a Blog,1625
The Andy Griffith Show,286
Lauryn Is Lost: A Disappeared Special,627
Ninja Blender Duo for a Healthy Holiday!,318
The Pioneer Woman,310
Fairy Tale: A True Story,428
Pawnography,228
Ocean Mysteries With Jeff Corwin,688
Hart to Hart,611
Natural World,1452
The Situation Room,457
BBC World News,485
Mob Wives,611
Worlds Wildest Police Videos,382
The OReilly Factor,469
Team Umizoomi,479
Curb Your Enthusiasm,469
American Pickers,461
NFL RUSH,513
Tignanello Handbags,85
The Interpreter,747
Walker Texas Ranger,712
Your World With Neil Cavuto,404
The Brothers Grimm,553
Say Yes to the Dress,330
SportsNet Central,428
My Sisters Keeper,517
Joseph Rosendos Travelscope,800
MC R&B Soul,296
Watch TV For FREE!,355
Sally Bollywood Super Detective,452
The Pioneer Woman,608
The Brothers Grimm,681
Access Hollywood Live,404
CBS Morning News,608
The Little Couple,355
Killer Kids,767
Arrow,1625
Hip Hop Hits,301
PM Style,122
Property Brothers,577
Live Soul,285
NFL RUSH,687
Storm Stories,281
Along Came Polly,637
Your World With Neil Cavuto,316
Kick Buttowski: Suburban Daredevil,286
The Pioneers,316
The Librarians,458
Every Witch Way,228
Further Adventures-Wilderness,1452
69 News Sunrise - 6:00am,485
Hart to Hart,342
Good Times,739
Inside City,537
NASCAR America,1474
The Sting,210
The Unguarded Hour,665
Sixers Pregame,61
Mona Lisa Smile,681
FOX and Friends,310
Mr. Deeds Goes to Town,513
Zoey 101,539
Keith Craft,160
Cocaine Cowboys,513
Kitchen Nightmares,299
Loud Mouths,111
Janes Journey,310
Local Weather,537
Forty Guns,786
Breakdown,295
CBS Morning News,285
21 Jump Street,688
Sleepy Hollow,299
Peppa Pig,687
Crash,537
UFC Main Event,382
Teeth,334
Fury at Gunsight Pass,534
All Hands on Deck,739
Triggers: Weapons That Changed the World,587
U.S. Bounty Hunters,241
Marry Me,160
The Pioneers,800
Horse Master With Julie Goodnight,428
Late Night With Seth Meyers,334
Lalaloopsy,428
Beautiful Creatures,609
Fury at Gunsight Pass,479
The Life and Legend of Wyatt Earp,633
Worst Cooks in America,577
The Painted Veil,328
Judge Hatchett,417
Triggers: Weapons That Changed the World,771
Frontline,452
Moneyball,1218
Fright Night,285
Father Brown,61
Heartland Bowhunter,1452
FOX 29 News at Five,28
Diagnosis Murder,293
Movie Loft,356
Eyewitness News Daybreak at 5am,587
Dirty Dancing,794
